--- Terminal on /dev/tty.usbserial-0001 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
p_drv:0x00
mode:DIO,  div:1
load:0x3fff0030,len:1344
load:0x40078000,len:13836
load:0x40080400,len:3608
entry 0x400805f0
0 21
0 21
0 22
0 22
0 22
0 22
0 22
0 22
0 23
0 23
0 23
0 23
0 23
0 24
0 24
0 24
0 24
0 24
0 24
0 25
0 25
0 25
0 25
0 25
0 25
0 26
0 26
0 26
0 26
0 26
0 27
0 27
0 27
0 37
0 37
0 38
0 38
0 38
0 38
0 38
0 38
0 39
0 39
0 39
0 39
0 39
0 40
0 40
0 40
0 40
0 40
0 40
0 41
0 41
0 41
0 41
0 41
0 41
0 42
0 42
0 42
0 42
0 53
0 53
0 53
0 53
0 53
0 53
0 54
0 54
0 54
0 54
0 54
0 54
0 55
0 55
0 55
0 55
0 55
0 56
0 56
0 56
0 56
0 56
0 56
0 57
0 57
0 57
0 57
0 57
0 57
0 58
0 68
0 68
0 68
0 69
0 69
0 69
0 69
0 69
0 69
0 70
0 70
0 70
0 70
0 70
0 70
0 71
0 71
0 71
0 71
0 71
0 72
0 72
0 72
0 72
0 72
0 72
0 73
0 73
0 73
0 83
0 84
0 84
0 84
0 84
0 84
0 84
0 85
0 85
0 85
0 85
0 85
0 85
0 86
0 86
0 86
0 86
0 86
0 86
0 87
0 87
0 87
0 87
0 87
0 88
0 88
0 88
0 88
0 88
0 88
0 99
0 99
0 99
0 99
0 100
0 100
0 100
0 100
0 100
0 100
0 101
0 101
0 101
0 101
0 101
0 101
0 102
0 102
0 102
0 102
0 102
0 103
0 103
0 103
0 103
0 113
0 114
0 114
0 114
0 114
0 114
0 114
0 115
0 115
0 115
0 115
0 115
0 116
0 116
0 116
0 116
0 116
0 116
0 117
0 117
0 117
0 117
0 117
0 128
0 128
0 128
0 128
0 128
0 129
0 129
0 129
0 129
0 129
0 129
0 130
0 130
0 130
0 130
0 130
0 131
0 131
0 131
0 131
0 131
0 131
0 132
0 132
0 142
0 142
0 143
0 143
0 143
0 143
0 143
0 143
0 144
0 144
0 144
0 144
0 144
0 144
0 145
0 145
0 145
0 145
0 145
0 146
0 146
0 146
0 146
0 146
0 157
0 157
0 157
0 157
0 157
0 157
0 158
0 158
0 158
0 158
0 158
0 159
0 159
0 159
0 159
0 159
0 159
0 160
0 160
0 160
0 160
0 160
0 160
0 171
0 171
0 171
0 171
0 171
0 172
0 172
0 172
0 172
0 172
0 173
0 173
0 173
0 173
0 173
0 173
0 174
0 174
0 174
0 174
0 174
0 174
0 175
0 175
0 185
407 185
416 186
416 186
419 186
430 186
445 186
445 186
447 187
447 187
461 187
443 187
443 187
478 188
479 188
487 188
487 188
493 198
711 199
730 199
730 199
755 199
758 199
762 199
762 200
769 200
768 200
763 200
763 200
784 201
784 201
784 201
785 201
787 201
789 212
846 212
849 212
857 212
832 212
832 212
835 213
835 213
859 213
861 213
861 213
865 214
866 214
838 214
838 214
869 214
869 214
885 225
884 225
884 225
893 225
894 226
874 226
874 226
881 226
875 226
875 226
890 227
885 227
885 227
886 227
886 227
894 227
886 238
886 238
919 238
952 238
955 239
929 239
918 239
918 239
909 239
909 239
915 240
915 240
960 240
914 240
914 240
926 240
942 241
939 251
510 251
496 251
490 252
480 252
469 252
469 252
450 252
450 252
429 253
429 253
420 253
414 253
400 253
337 254
337 254
384 254
368 264
112 264
101 265
96 265
80 265
80 265
89 265
89 265
97 266
85 266
85 266
90 266
79 266
79 267
43 267
43 267
64 267
64 267
67 267
75 268
0 278
0 278
0 278
0 279
0 279
0 279
0 279
0 279
0 279
0 280
0 280
0 280
0 280
0 280
0 280
0 281
0 281
0 281
0 281
0 281
0 282
0 282
0 282
0 292
0 292
0 293
0 293
0 293
0 293
0 293
0 294
0 294
0 294
0 294
0 294
0 294
0 295
0 295
0 295
0 295
0 295
0 295
0 296
0 296
0 296
0 296
0 296
0 307
0 307
0 307
0 307
0 307
0 308
0 308
0 308
0 308
0 308
0 309
0 309
0 309
0 309
0 309
0 309
0 310
0 310
0 310
0 310
0 310
0 310
0 311
0 311
0 321
0 321
0 322
0 322
0 322
0 322
0 322
0 322
0 323
0 323
0 323
0 323
0 323
0 323
0 324
0 324
0 324
0 324
0 324
0 324
0 325
0 325
0 325
0 335
0 336
0 336
0 336
0 336
0 336
0 336
0 337
0 337
0 337
0 337
0 337
0 337
0 338
0 338
0 338
0 338
0 338
0 339
0 339
0 339
0 339
0 339
0 339
0 350
0 350
0 350
0 350
0 350
0 351
0 351
0 351
0 351
0 351
0 352
0 352
0 352
0 352
0 352
0 352
0 353
0 353
0 353
0 353
0 353
0 353
0 354
0 364
0 364
0 364
0 365
0 365
0 365
0 365
0 365
0 365
0 366
0 366
0 366
0 366
0 366
0 366
0 367
0 367
0 367
0 367
0 367
0 368
0 368
0 368
0 368
0 378
0 379
0 379
0 379
0 379
0 379
0 380
0 380
0 380
0 380
0 380
0 380
0 381
0 381
0 381
0 381
0 381
0 381
0 382
0 382
0 382
0 382
0 382
0 382
0 393
0 393
0 393
0 393
0 394
0 394
0 394
0 394
0 394
0 394
0 395
0 395
0 395
0 395
0 395
0 395
0 396
0 396
0 396
0 396
0 396
0 397
0 397
0 407
0 407
0 407
0 408
0 408
0 408
0 408
0 408
0 408
0 409
0 409
0 409
0 409
0 409
0 410
0 410
0 410
0 410
0 410
0 410
0 411
0 411
0 411
0 411
0 422
0 422
0 422
0 422
0 422
0 422
0 423
0 423
0 423
0 423
0 423
0 423
0 424
0 424
0 424
0 424
0 424
0 424
0 425
0 425
0 425
0 425
0 425
0 436
0 436
0 436
0 436
0 436
0 437
0 437
0 437
0 437
0 437
0 438
0 438
0 438
0 438
0 438
0 438
0 439
0 439
0 439
0 439
0 439
0 439
0 440
0 440
0 450
0 450
0 451
0 451
0 451
0 451
0 451
0 451
0 452
0 452
0 452
0 452
0 452
0 453
0 453
0 453
0 453
0 453
0 453
0 454
0 454
0 454
0 454
0 454
0 465
0 465
0 465
0 465
0 465
0 466
0 466
0 466
0 466
0 466
0 466
0 467
0 467
0 467
0 467
0 467
0 467
0 468
0 468
0 468
0 468
0 468
0 469
0 479
0 479
0 479
0 479
0 480
0 480
0 480
0 480
0 480
0 480
0 481
0 481
0 481
0 481
0 481
0 481
0 482
0 482
0 482
0 482
0 482
0 483
0 483
0 483
0 493
0 493
0 494
0 494
0 494
0 494
0 494
0 495
0 495
0 495
0 495
0 495
0 495
0 496
0 496
0 496
0 496
0 496
0 496
0 497
0 497
0 497
0 497
0 497
0 508
0 508
0 508
0 508
0 508
0 509
0 509
0 509
0 509
0 509
0 509
0 510
0 510
0 510
0 510
0 510
0 511
0 511
0 511
0 511
0 511
0 511
0 512
0 522
0 522
0 522
0 522
0 523
0 523
0 523
0 523
0 523
0 523
0 524
0 524
0 524
0 524
0 524
0 525
0 525
0 525
0 525
0 525
0 525
0 526
0 526
0 526
0 536
0 537
0 537
0 537
0 537
0 537
0 537
0 538
0 538
0 538
0 538
0 538
0 538
0 539
0 539
0 539
0 539
0 539
0 540
0 540
0 540
0 540
0 540
0 551
0 551
0 551
0 551
0 551
0 551
0 552
0 552
0 552
0 552
0 552
0 552
0 553
0 553
0 553
0 553
0 553
0 554
0 554
0 554
0 554
0 554
0 554
0 555
0 565
0 565
0 565
0 566
0 566
0 566
0 566
0 566
0 566
0 567
0 567
0 567
0 567
0 567
0 567
0 568
0 568
0 568
0 568
0 568
0 569
0 569
0 569
0 569
0 579
0 580
0 580
0 580
0 580
0 580
0 580
0 581
0 581
0 581
0 581
0 581
0 582
0 582
0 582
0 582
0 582
0 582
0 583
0 583
0 583
0 583
0 583
0 594
0 594
0 594
0 594
0 594
0 594
0 595
0 595
0 595
0 595
0 595
0 596
0 596
0 596
0 596
0 596
0 596
0 597
0 597
0 597
0 597
0 597
0 597
0 598
0 608
0 608
0 608
0 609
0 609
0 609
0 609
0 609
0 609
0 610
0 610
0 610
0 610
0 610
0 611
0 611
0 611
0 611
0 611
0 611
0 612
0 612
0 612
0 622
0 622
0 623
0 623
0 623
0 623
0 623
0 624
0 624
0 624
0 624
0 624
0 624
0 625
0 625
0 625
0 625
0 625
0 625
0 626
0 626
0 626
0 626
0 626
0 637
0 637
0 637
0 637
0 637
0 638
0 638
0 638
0 638
0 638
0 639
0 639
0 639
0 639
0 639
0 639
0 640
0 640
0 640
0 640
0 640
0 640
0 641
0 641
0 651
0 651
0 652
0 652
0 652
0 652
0 652
0 652
0 653
0 653
0 653
0 653
0 653
0 653
0 654
0 654
0 654
0 654
0 654
0 655
0 655
0 655
0 655
0 665
0 666
0 666
0 666
0 666
0 666
0 666
0 667
0 667
0 667
0 667
0 667
0 668
0 668
0 668
0 668
0 668
0 668
0 669
0 669
0 669
0 669
0 669
0 669
0 680
0 680
0 680
0 680
0 681
0 681
0 681
0 681
0 681
0 681
0 682
0 682
0 682
0 682
0 682
0 682
0 683
0 683
0 683
0 683
0 683
0 684
0 684
0 684
0 694
0 694
0 695
0 695
0 695
0 695
0 695
0 695
0 696
0 696
0 696
0 696
0 696
0 697
0 697
0 697
0 697
0 697
0 697
0 698
0 698
0 698
0 698
0 708
0 709
0 709
0 709
0 709
0 709
0 710
0 710
0 710
0 710
0 710
0 710
0 711
0 711
0 711
0 711
0 711
0 711
0 712
0 712
0 712
0 712
0 712
0 713
0 723
0 723
0 723
0 723
0 724
0 724
0 724
0 724
0 724
0 724
0 725
0 725
0 725
0 725
0 725
0 726
0 726
0 726
0 726
0 726
0 726
0 727
0 727
0 737
0 737
0 737
0 738
0 738
0 738
0 738
0 738
0 739
0 739
0 739
0 739
0 739
0 739
0 740
0 740
0 740
0 740
0 740
0 740
0 741
0 741
0 741
0 741
0 752
0 752
0 752
0 752
0 752
0 752
0 753
0 753
0 753
0 753
0 753
0 754
0 754
0 754
0 754
0 754
0 754
0 755
0 755
0 755
0 755
0 755
0 755
0 756
0 766
0 766
0 766
0 767
0 767
0 767
0 767
0 767
0 767
0 768
0 768
0 768
0 768
0 768
0 768
0 769
0 769
0 769
0 769
0 769
0 770
0 770
0 770
0 780
0 780
0 781
0 781
0 781
0 781
0 781
0 782
0 782
0 782
0 782
0 782
0 782
0 783
0 783
0 783
0 783
0 783
0 783
0 784
0 784
0 784
0 784
0 784
0 795
0 795
0 795
0 795
0 795
0 796
0 796
0 796
0 796
0 796
0 796
0 797
0 797
0 797
0 797
0 797
0 797
0 798
0 798
0 798
0 798
0 798
0 799
0 799
0 809
0 809
0 809
0 810
0 810
0 810
0 810
0 810
0 810
0 811
0 811
0 811
0 811
0 811
0 812
0 812
0 812
0 812
0 812
0 812
0 813
0 813
0 813
0 823
0 824
0 824
0 824
0 824
0 824
0 824
0 825
0 825
0 825
0 825
0 825
0 826
0 826
0 826
0 826
0 826
0 826
0 827
0 827
0 827
0 827
0 827
0 827
0 838
0 838
0 838
0 838
0 839
0 839
0 839
0 839
0 839
0 839
0 840
0 840
0 840
0 840
0 840
0 840
0 841
0 841
0 841
0 841
0 841
0 842
0 842
0 842
0 852
0 852
0 853
0 853
0 853
0 853
0 853
0 853
0 854
0 854
0 854
0 854
0 854
0 855
0 855
0 855
0 855
0 855
0 855
0 856
0 856
0 856
0 856
0 866
0 867
0 867
0 867
0 867
0 867
0 867
0 868
0 868
0 868
0 868
0 868
0 869
0 869
0 869
0 869
0 869
0 869
0 870
0 870
0 870
0 870
0 870
0 870
0 881
0 881
0 881
0 881
0 882
0 882
0 882
0 882
0 882
0 882
0 883
0 883
0 883
0 883
0 883
0 884
0 884
0 884
0 884
0 884
0 884
0 885
0 885
0 895
0 895
0 895
0 896
0 896
0 896
0 896
0 896
0 896
0 897
0 897
0 897
0 897
0 897
0 898
0 898
0 898
0 898
0 898
0 898
0 899
0 899
0 899
0 899
0 910
0 910
0 910
0 910
0 910
0 910
0 911
0 911
0 911
0 911
0 911
0 911
0 912
0 912
0 912
0 912
0 912
0 913
0 913
0 913
0 913
0 913
0 913
0 914
0 924
0 924
0 924
0 924
0 925
0 925
0 925
0 925
0 925
0 926
0 926
0 926
0 926
0 926
0 926
0 927
0 927
0 927
0 927
0 927
0 927
0 928
0 928
0 938
0 938
0 938
0 939
0 939
0 939
0 939
0 939
0 940
0 940
0 940
0 940
0 940
0 940
0 941
0 941
0 941
0 941
0 941
0 941
0 942
0 942
0 942
0 942
0 953
0 953
0 953
0 953
0 953
0 953
0 954
0 954
